row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PB_neg_5.mzML Peak height,Cg2_neg_12.mzML Peak height,Cg1_neg_13.mzML Peak height,Ps2_neg_14.mzML Peak height,Cg3_neg_10.mzML Peak height,Asp3_neg_19.mzML Peak height,Ps1_neg_20.mzML Peak height,Asp2_neg_16.mzML Peak height,Asp1_neg_18.mzML Peak height,Ml1_neg_9.mzML Peak height,Ps3_neg_21.mzML Peak height,Ml3_neg_17.mzML Peak height,Ml2_neg_11.mzML Peak height,QC_neg_7.mzML Peak height,QC_neg_22.mzML Peak height,QC_neg_8.mzML Peak height,QC_neg_15.mzML Peak height,QC_neg_24.mzML Peak height,
3533,497.079198479412,2.718555,,,,,,,,,,,0,0,0,0,0,5502.448,0,4446.1714,19659.283,0,0,0,0,7211.8906,7663.3384,7632.9814,7512.458,0,
3535,556.9871139429191,2.734137,,,,,,,,,,,0,24356.826,25734.607,1731.2565,43607.215,0,0,0,0,0,0,0,9541.021,5138.8184,4756.893,5937.7026,7070.9062,0,
3537,275.02059196959107,2.7294698,,,,,,,,,,,0,94040.29,0,0,88961.72,11060.177,0,15801.427,11597.158,2409.4456,0,0,1068.9762,0,13257.628,14958.763,15628.208,13365.948,
3539,307.14488596410933,2.7250834,,,,,,,,,,,0,0,0,0,0,131967.97,0,167246.1,137116.86,0,0,0,0,71705.47,69587.4,67648.2,70848.41,72246.61,
3540,439.10639639192595,2.7257392,,,,,,,,,,,0,6317.985,6975.3325,0,12867.117,0,0,0,0,0,0,0,0,0,0,0,0,0,
3542,425.09931594162225,2.730194,,,,,,,,,,,0,0,0,0,0,180774.7,2354.1357,236347.72,117811.14,1446.2102,0,0,3251.8528,52434.77,47475.34,48632.766,45775.61,55448.977,
3548,271.0609838015587,2.7154334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13594.193,0,25397.031,30313.438,5837.8936,7161.674,6327.889,4837.8105,6444.8203,
3554,699.2455383871513,2.7271671,,,,,,,,,,,0,0,0,0,0,33649.117,0,47611.336,57816.684,0,0,0,0,21893.613,21960.01,18923.69,19043.926,19964.83,
3557,337.922552658499,2.7309365,,,,,,,,,,,0,0,0,7317.5957,0,0,6302.584,0,0,1552.7258,9552.609,1258.5183,0,0,0,0,0,0,
3558,329.89101530809205,2.7225966,,,,,,,,,,,0,0,0,31116.1,0,0,18351.986,0,0,1973.7836,51638.082,2865.1736,0,0,0,0,0,0,
3559,457.9793453259452,2.72805,,,,,,,,,,,0,0,0,4549.7363,0,0,3564.7234,0,0,0,12447.863,0,0,0,0,0,0,0,
3560,375.1417516056999,2.7320354,,,,,,,,,,,0,0,0,9211.595,0,14051.003,0,24916.533,10200.366,0,9655.843,0,0,0,3908.127,0,2259.6233,7237.774,
3561,377.18125325245956,2.7173352,,,,,,,,,,,0,1624.2067,0,0,0,13875.569,0,17421.709,13090.273,0,2889.8801,0,0,1561.7594,1802.3538,0,0,4839.4087,
3567,201.1131387797566,2.733139,,,,,,,,,,,2015.2157,3243.0015,6360.5,181038.11,2972.7793,198839.7,324128.75,188972.55,120363.59,7817.075,222982.33,5016.835,8250.9375,147791.28,146118.33,153325.67,148345.16,150189.31,
3569,327.9060791058594,2.7308276,,,,,,,,,,,0,0,0,7916.2476,0,0,6127.4917,0,0,0,15576.269,0,0,0,0,0,0,0,
3570,357.1546541271005,2.7399075,,,,,,,,,,,0,0,0,10881.276,0,0,12177.967,4790.857,0,0,12745.236,0,0,6783.4473,2047.5566,5791.1294,5100.5957,2294.8281,
3571,587.2967976912564,2.7223625,,,,,,,,,,,0,0,0,0,0,19492.227,0,33865.195,7233.3877,0,0,0,0,0,0,0,0,2908.1533,
3572,909.3553639301988,2.7201297,,,,,,,,,,,0,0,0,0,0,3527.2231,0,7902.38,4086.049,0,0,0,0,5010.102,6062.2437,0,0,0,
3573,343.12122616953866,2.7313397,,,,,,,,,,,0,0,0,0,0,18507.096,0,20578.451,21184.734,0,0,0,0,13691.21,17145.078,16110.515,16541.201,16314.225,
