"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
4836/310.9959mz/4.60min,10290.43359375,9813.064453125,9363.1845703125,11097.7421875,10808.6201171875,9978.6435546875,8977.517578125,10519.6875,10869.3564453125,10849.1220703125,11182.6064453125,9861.271484375,9556.0048828125
4837/242.9871mz/4.61min,18185.68359375,20341.58203125,18901.052734375,18416.1015625,18679.31640625,18288.931640625,20100.755859375,18610.689453125,17710.494140625,20696.54296875,20779.59375,18296.005859375,18801.21484375
4838/308.9933mz/4.60min,,10767.4697265625,12024.5,12305.5283203125,12343.5048828125,11651.45703125,12297.373046875,12964.984375,12405.224609375,12611.20703125,12855.259765625,12982.166015625,12512.7900390625
4839/437.0123mz/4.61min,12881.2099609375,13140.4560546875,11037.0810546875,13788.8525390625,11955.029296875,,13165.3203125,13127.6103515625,,,12443.1201171875,12811.2578125,12668.5556640625
4840/289.0010mz/4.61min,10060.66796875,10935.5439453125,9710.2705078125,,,11246.29296875,11164.3642578125,10087.8505859375,,,9592.65625,11662.10546875,11167.2119140625
4841/265.1444mz/4.61min,10934.2509765625,12835.248046875,11943.4736328125,12273.1015625,15371.96484375,14532.689453125,14312.5517578125,11284.75390625,13087.205078125,13334.888671875,13758.875,13290.931640625,13497.939453125
4848/350.9978mz/4.61min,14130.6455078125,15740.78125,14586.658203125,15922.3173828125,15168.203125,16909.21875,17533.7578125,14189.0146484375,15305.6484375,15876.87109375,15787.9169921875,16714.2109375,15069.4248046875
4850/433.0078mz/4.62min,10187.76171875,10826.166015625,10773.5595703125,10660.7080078125,10550.2666015625,11045.771484375,11216.66796875,11410.1806640625,11680.4619140625,10805.8994140625,11235.0322265625,10473.0,10537.9052734375
4852/439.1623mz/4.61min,,,,,,9519.6552734375,37673.52734375,10946.77734375,10636.1943359375,,32690.666015625,,10923.810546875
4853/401.1872mz/4.61min,,,,,,57062.54296875,240613.5625,59247.6640625,59455.03125,,188231.046875,,55331.1640625
4854/437.1639mz/4.61min,,,,,,27770.853515625,111655.1171875,29030.859375,30965.27734375,,93513.8359375,,30554.109375
4855/447.1924mz/4.61min,,,,,,17147.451171875,61721.95703125,16622.6953125,15283.005859375,,50497.65234375,,15521.51171875
4856/423.0057mz/4.63min,22136.796875,22578.43359375,22967.021484375,20994.22265625,20866.833984375,21167.111328125,23579.369140625,23401.880859375,23827.859375,,22791.3125,25218.9921875,22949.3125
4857/298.9947mz/4.61min,15970.962890625,13984.5859375,15982.1728515625,15904.435546875,15232.4931640625,17317.673828125,16331.6552734375,15424.0478515625,15545.8076171875,15647.123046875,16661.8671875,16275.7109375,16384.7421875
4858/320.9993mz/4.62min,16183.701171875,16313.5224609375,15385.87890625,16496.5078125,15624.0439453125,15757.923828125,16207.361328125,15431.3583984375,15508.673828125,15384.720703125,13670.3232421875,14625.265625,14904.8740234375
4861/284.9972mz/4.61min,11525.640625,11943.0,11895.93359375,13111.04296875,10481.57421875,10815.0009765625,11030.8193359375,14983.7431640625,12382.724609375,12626.873046875,12808.2587890625,12168.453125,12560.8544921875
4862/272.9989mz/4.62min,,8658.30859375,10615.4052734375,9824.0302734375,9414.275390625,11523.390625,9590.3115234375,10799.587890625,9706.693359375,11035.0009765625,,9000.01953125,10864.279296875
4864/339.0030mz/4.62min,20284.9609375,20499.3046875,,20256.51171875,19685.7578125,20685.6796875,20341.517578125,21092.67578125,21592.287109375,20777.384765625,19992.384765625,20525.615234375,20393.208984375
4866/344.9966mz/4.61min,18810.9140625,21524.12890625,19941.625,19333.630859375,19477.58984375,19532.1796875,20623.103515625,21445.548828125,19947.669921875,19655.1953125,18689.1796875,18844.802734375,21008.75390625
4868/329.2332mz/4.62min,165444.703125,41459.76171875,29874.880859375,38578.87109375,30093.3359375,50662.32421875,31994.8359375,53210.015625,55393.38671875,25300.15625,48669.7109375,56065.67578125,54065.98046875
4870/322.9971mz/4.63min,17281.130859375,16911.970703125,16336.3916015625,,17896.8359375,16099.23046875,17380.859375,,16389.3515625,16420.955078125,18570.404296875,17429.83203125,16017.142578125
4871/368.9968mz/4.63min,14504.142578125,15343.1240234375,15503.482421875,14089.3486328125,13156.158203125,14202.5908203125,13309.919921875,13731.345703125,15615.380859375,13816.390625,,,13279.103515625
4872/346.9943mz/4.62min,,13010.1572265625,,11604.3271484375,14094.2001953125,11848.228515625,12771.8662109375,12797.8056640625,12620.626953125,12333.5810546875,13609.998046875,,
4873/290.9955mz/4.63min,10321.603515625,10772.1748046875,10207.0712890625,9591.697265625,,10955.5068359375,9786.6708984375,,,,,11071.8994140625,
4874/292.9864mz/4.62min,22048.0,19932.466796875,17557.9140625,19123.55078125,21818.736328125,22420.51953125,21614.15625,19598.37109375,20355.923828125,18413.623046875,21927.154296875,19672.833984375,18826.677734375
4876/361.0037mz/4.63min,14723.7578125,15073.212890625,13072.7236328125,15433.2353515625,14495.8603515625,13489.17578125,14313.041015625,13703.0693359375,14508.4970703125,14939.2470703125,14205.2451171875,15010.6630859375,14870.2099609375
4881/437.0113mz/4.63min,11162.6767578125,,12768.130859375,11637.6875,12680.38671875,,,13127.6103515625,12819.6728515625,13379.0068359375,12443.1201171875,13442.923828125,
4883/256.9870mz/4.64min,25486.060546875,26364.3125,26304.107421875,27292.3203125,29356.8984375,25700.958984375,25281.734375,24473.453125,24095.603515625,25524.201171875,26938.05078125,26250.826171875,27363.5234375
4888/501.3214mz/4.64min,,,25531.068359375,,7922.80322265625,11092.798828125,41706.00390625,11535.7333984375,10640.3134765625,,,,9974.4560546875
4889/312.9932mz/4.65min,18010.3359375,19363.29296875,18636.14453125,19194.921875,17549.888671875,17869.240234375,18947.486328125,18636.478515625,17977.9609375,16987.470703125,18451.498046875,17370.05859375,17519.109375
4891/257.1756mz/4.64min,14078.17578125,7829.6689453125,8088.77001953125,10258.19921875,8886.2822265625,9196.353515625,12421.1591796875,8438.4375,10220.5595703125,9501.826171875,10010.4521484375,10517.94140625,9131.4853515625
4895/408.9933mz/4.65min,25173.68359375,26251.916015625,26057.27734375,25497.63671875,24799.6171875,24715.658203125,26497.931640625,25754.80078125,26788.19140625,24714.333984375,24384.5390625,27137.42578125,24437.20703125
