row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PS-PS_neg_53.mzML Peak height,CG-C13_neg_52.mzML Peak height,MI-B14_neg_49.mzML Peak height,CG-C22_neg_50.mzML Peak height,MI-B24_neg_47.mzML Peak height,QC_neg_45.mzML Peak height,MI-ML_neg_48.mzML Peak height,QC_neg_56.mzML Peak height,QC_neg_51.mzML Peak height,PB_neg_42.mzML Peak height,CG-CG_neg_55.mzML Peak height,ASP-ASP_neg_54.mzML Peak height,QC_neg_46.mzML Peak height,
82,522.9136254267288,0.26689583,,,,,,,,,,,11478.786,0,0,0,0,9955.638,20887.896,14254.322,12919.222,12198.189,27815.113,9104.379,0,
83,242.94283157930434,0.26323473,,,,,,,,,,,16694.14,17561.424,17269.973,0,28453.898,37695.05,17476.664,31614.865,33444.668,15786.852,23103.81,23697.97,36392.586,
84,394.88998349406563,0.26604873,,,,,,,,,,,7968.6157,24577.229,23374.783,28792.848,5738.8877,9262.287,8883.814,10071.955,10192.584,14791.061,8065.282,10035.916,10342.761,
85,294.9534228314936,0.26684242,,,,,,,,,,,154656.9,1516.1907,0,0,1972.2751,157130.28,186744.56,121077.77,114860.37,54924.973,197730.94,152562.83,164976.88,
87,362.94079935199386,0.26508668,,,,,,,,,,,207562.62,1906.4352,0,0,0,193828.08,237569.92,183356.47,189865.1,85432.68,237578.62,212817.94,220645.52,
88,363.9423946694282,0.26687038,,,,,,,,,,,40519.03,0,0,0,0,41033.535,49588.676,36395.49,33819.19,15163.327,49020.926,39873.67,42527.7,
89,430.92788764954065,0.26687038,,,,,,,,,,,73099.97,0,0,0,0,61234.41,76992.82,59908.125,56848.652,27867.348,74762.125,74011.72,73567.7,
90,378.91692790861276,0.26691517,,,,,,,,,,,11941.619,0,0,5653.5596,1768.0533,39240.43,15240.739,40595.21,36859.668,15836.295,17367.143,20705.32,39115.35,
91,364.9395849409392,0.26687038,,,,,,,,,,,31743.045,0,0,0,0,29494.645,40382.266,32112.373,29171.162,14530.298,39282.8,36248.46,35753.57,
92,514.8919169642696,0.26872036,,,,,,,,,,,9922.497,0,0,0,0,25969.273,15617.576,30824.18,32402.64,14639.104,11199.542,20441.566,32530.4,
93,658.8879767756625,0.26687038,,,,,,,,,,,13125.125,0,0,0,0,7461.641,19190.254,10116.546,8596.974,10967.413,25577.035,8570.77,5728.3096,
94,340.9458601209135,0.26175153,,,,,,,,,,,24766.223,4586.1973,3290.9255,5138.5137,0,22354.2,39613.09,31540.377,31859.688,0,61086.832,19769.428,34535.62,
95,650.8659718802918,0.2696463,,,,,,,,,,,7912.561,0,0,0,0,24072.363,13074.138,32201.85,30010.549,11440.801,9398.716,14370.483,30765.943,
96,770.8636156155253,0.27057037,,,,,,,,,,,22702.576,0,0,0,0,18076.404,44233.605,21644.545,22909.197,16868.422,25431.838,26625.184,21067.107,
97,724.8719255427354,0.27612036,,,,,,,,,,,95806.56,0,0,0,0,88417.73,176772.05,83978.08,78255.76,210340.17,51865.043,133536.88,90975.68,
98,410.8632158517044,0.26835832,,,,,,,,,,,0,45415.457,58723.957,58823.355,22883.697,0,0,0,0,0,0,0,0,
99,792.8592184242766,0.27612036,,,,,,,,,,,67042.58,0,0,0,0,66874.04,147346.45,62849.457,60155.637,187331.92,36464.945,112872.68,67000.1,
100,590.90113388677,0.26687038,,,,,,,,,,,12909.134,0,0,0,0,9562.41,22045.953,11337.446,12457.865,17831.664,30933.748,10154.484,9884.699,
101,634.8896467415193,0.2696463,,,,,,,,,,,48996.15,0,0,0,0,40074.703,74896.34,46195.715,45587.105,29942.74,48835.875,52327.77,51297.027,
102,498.9151158939779,0.26779446,,,,,,,,,,,60754.395,0,0,0,0,51249.695,73875.445,54833.055,47960.555,27034.447,56226.758,59056.15,58190.027,
103,216.9353509678669,0.26536968,,,,,,,,,,,15472.673,28694.418,20410.068,20653.107,34062.543,18439.414,0,0,16556.65,24893.332,8143.2505,12825.319,11326.336,
104,218.93263955076003,0.26480833,,,,,,,,,,,0,21307.277,16091.229,17326.094,31693.633,0,0,10327.547,7436.4824,16793.994,0,0,7561.7065,
